Class,ID,Severity,Ruleset(s),Message,Description,Guidance,Context (Xpath),Test (Xpath)
financial,1.10.13,Warning,,"The identifier must not contain any of the symbols /, &, | or ?.",,,provider-org/@ref,"matches($item, '[/&|?]')"
participating,1.11.1,Warning,,The identifier should not start or end with spaces or newlines.,,,owner-org/@ref,$item != functx:trim($item)
participating,1.11.13,Warning,,"The identifier must not contain any of the symbols /, &, | or ?.",,,owner-org/@ref,"matches($item, '[/&|?]')"
organisation,1.12.1,Warning,2.0x,The identifier should not start or end with spaces or newlines.,,,organisation-identifier,$item != functx:trim($item)
organisation,1.12.13,Warning,2.0x,"The identifier must not contain any of the symbols /, &, | or ?.",,,organisation-identifier,"matches($item, '[/&|?]')"
identifiers,1.14.1,Warning,,The identifier should not start or end with spaces or newlines.,,,reporting-org/@ref,$item != functx:trim($item)
identifiers,1.14.12,Warning,iati:2.x,The activity's organisation identifier should be an organisation identifier approved by the IATI registry.,,,reporting-org,not(@ref=$known-publisher-ids)
identifiers,1.14.13,Warning,,"The identifier must not contain any of the symbols /, &, | or ?.",,,reporting-org/@ref,"matches($item, '[/&|?]')"
identifiers,1.14.8,Warning,iati:2.x,The identifier does not start with a known prefix.,,http://org-id.guide,reporting-org,"not(some $prefix in $org-id-prefixes satisfies starts-with(@ref, $prefix||'-'))"
organisation,1.15.1,Warning,,The identifier should not start or end with spaces or newlines.,,,receiver-org/@ref,$item != functx:trim($item)
organisation,1.15.13,Warning,,"The identifier must not contain any of the symbols /, &, | or ?.",,,receiver-org/@ref,"matches($item, '[/&|?]')"
identifiers,1.16.1,Warning,,The identifier should not start or end with spaces or newlines.,,,other-identifier[upper-case(@type)=('B1')]/@ref,$item != functx:trim($item)
identifiers,1.3.1,Warning,,The identifier should not start or end with spaces or newlines.,,,iati-identifier,$item != functx:trim($item)
identifiers,1.3.11,Warning,iati:2.x,The activity identifier should begin with an organisation identifier approved by the IATI registry.,,,iati-identifier,"not(some $known-id in $known-publisher-ids satisfies starts-with(., $known-id || '-'))"
identifiers,1.3.13,Warning,,"The identifier must not contain any of the symbols /, &, | or ?.",,,iati-identifier,"matches($item, '[/&|?]')"
financial,1.4.1,Warning,,The identifier should not start or end with spaces or newlines.,,,@provider-activity-id,$item != functx:trim($item)
financial,1.5.1,Warning,,The identifier should not start or end with spaces or newlines.,,,@receiver-activity-id,$item != functx:trim($item)
identifiers,1.6.1,Warning,,The identifier should not start or end with spaces or newlines.,,,other-identifier[upper-case(@type)=('A3')]/@ref,$item != functx:trim($item)
identifiers,1.7.1,Warning,,The identifier should not start or end with spaces or newlines.,,,related-activity/@ref,$item != functx:trim($item)
identifiers,1.7.2,Error,iati,Organisation Identifier must be present.,,{me:iati-url('activity-standard/iati-activities/iati-activity/reporting-org/')},reporting-org,not(@ref)
participating,1.8.1,Warning,,The identifier should not start or end with spaces or newlines.,,,participating-org/@ref,$item != functx:trim($item)
participating,1.8.13,Warning,,"The identifier must not contain any of the symbols /, &, | or ?.",,,participating-org/@ref,"matches($item, '[/&|?]')"
participating,1.9.1,Warning,,The identifier should not start or end with spaces or newlines.,,,@activity-id,$item != functx:trim($item)
information,102.1.1,Warning,iati,"When reporting sectors at transaction level, it is recommended that if a publisher uses a non-DAC classification system or systems, these should be used in addition to DAC 5-digit codes.",,https://drive.google.com/file/d/1GNnjeqDIyWwuuIkJ8pMjLhE99R_olSJP/view,(iati-activity|transaction)[sector],"not(sector[@vocabulary=('1','') or not(@vocabulary)])"
information,103.1.1,Warning,iati,The activity should also have a region using the OECD DAC region vocabulary.,,https://drive.google.com/file/d/1GNnjeqDIyWwuuIkJ8pMjLhE99R_olSJP/view,iati-activity[recipient-region],"not(recipient-region/@vocabulary=('1','') or recipient-region[not(@vocabulary)])"
information,106.1.1,Warning,iati,The activity should also have a policy-marker using the OECD DAC vocabulary.,,https://drive.google.com/file/d/1GNnjeqDIyWwuuIkJ8pMjLhE99R_olSJP/view,iati-activity[policy-marker],"not(policy-marker/@vocabulary=('1','') or not(policy-marker/@vocabulary))"
information,107.1.1,Warning,iati:2.03,The activity should also contain a code from the DAC Type of Aid Vocabulary.,,,iati-activity[default-aid-type],"not(default-aid-type/@vocabulary=('1','') or not(default-aid-type/@vocabulary))"
financial,107.1.2,Warning,iati:2.03,Each selected default-aid-type vocabulary should only be used once for each activity.,,,iati-activity[default-aid-type],"count(default-aid-type[@vocabulary=('1','') or not(@vocabulary)]) > 1 or (some $v in (default-aid-type/@vocabulary[. != ('1', '')]) satisfies count(default-aid-type[@vocabulary=$v]) > 1)"
financial,107.2.1,Warning,iati:2.03,The transaction should also contain a code from the DAC Type of Aid Vocabulary.,,,transaction[aid-type],"not(aid-type/@vocabulary=('1','') or not(aid-type/@vocabulary))"
financial,107.2.2,Warning,iati:2.03,Each selected aid-type vocabulary should only be used once for each transaction.,,,transaction[aid-type],"count(aid-type[@vocabulary=('1','') or not(@vocabulary)]) > 1 or (some $v in (aid-type/@vocabulary[. != ('1', '')]) satisfies count(aid-type[@vocabulary=$v]) > 1)"
information,11.1.1,Error,iati,The last-updated-datetime of the activity must not be in the future.,,{me:iati-url('activity-standard/iati-activities/iati-activity/')},iati-activity,@last-updated-datetime and @last-updated-datetime castable as xs:dateTime and xs:dateTime(@last-updated-datetime) gt $now
information,11.1.2,Error,iati,The planned start date must be before the planned end date.,,https://drive.google.com/file/d/1-R-xGMCrAKiadMBIHsNc4Xvl75CB0IV1/view,iati-activity,activity-date[@type='1']/@iso-date and activity-date[@type='1']/@iso-date castable as xs:date and activity-date[@type='3']/@iso-date and activity-date[@type='3']/@iso-date castable as xs:date and xs:date(activity-date[@type='1']/@iso-date) gt xs:date(activity-date[@type='3']/@iso-date)
information,11.1.3,Error,iati,The actual start date must be before the actual end date.,,https://drive.google.com/file/d/1-R-xGMCrAKiadMBIHsNc4Xvl75CB0IV1/view,iati-activity,activity-date[@type='2']/@iso-date and activity-date[@type='2']/@iso-date castable as xs:date and activity-date[@type='4']/@iso-date and activity-date[@type='4']/@iso-date castable as xs:date and xs:date(activity-date[@type='2']/@iso-date) gt xs:date(activity-date[@type='4']/@iso-date)
information,11.1.4,Error,iati,The actual start date of the activity must not be in the future.,,https://drive.google.com/file/d/1-R-xGMCrAKiadMBIHsNc4Xvl75CB0IV1/view,iati-activity,activity-date[@type='2']/@iso-date and activity-date[@type='2']/@iso-date castable as xs:date and xs:date(activity-date[@type='2']/@iso-date) gt xs:date($now)
information,11.1.5,Error,iati,The actual end date of the activity must not be in the future.,,https://drive.google.com/file/d/1-R-xGMCrAKiadMBIHsNc4Xvl75CB0IV1/view,iati-activity,activity-date[@type='4']/@iso-date and activity-date[@type='4']/@iso-date castable as xs:date and xs:date(activity-date[@type='4']/@iso-date) gt xs:date($now)
financial,11.2.1,Error,iati,The transaction date must not be in the future.,,https://drive.google.com/file/d/1E3hztk6gWTW5DypLELeSwW5X-Ahg0yjm/view,transaction,transaction-date/@iso-date and transaction-date/@iso-date castable as xs:date and xs:date(transaction-date/@iso-date) gt xs:date($now)
financial,11.2.2,Error,iati,The transaction value date must not be in the future.,,https://drive.google.com/file/d/1E3hztk6gWTW5DypLELeSwW5X-Ahg0yjm/view,transaction,value/@value-date and value/@value-date castable as xs:date and xs:date(value/@value-date) gt xs:date($now)
financial,11.3.1,Error,iati,The budget line value date must be in the budget period.,,https://drive.google.com/file/d/1mv2Q666tKBOAoiy5JayslmZNetxDM1uu/view,budget-line/value[@value-date],@value-date castable as xs:date and ../../period-start/@iso-date and ../../period-start/@iso-date castable as xs:date and ../../period-end/@iso-date and ../../period-end/@iso-date castable as xs:date and xs:date(@value-date) lt xs:date(../../period-start/@iso-date) or xs:date(@value-date) gt xs:date(../../period-end/@iso-date)
information,11.4.1,Error,iati,The last-updated-datetime of the organisation must not be in the future.,,https://drive.google.com/file/d/1-R-xGMCrAKiadMBIHsNc4Xvl75CB0IV1/view,iati-organisation,@last-updated-datetime and @last-updated-datetime castable as xs:dateTime and xs:dateTime(@last-updated-datetime) gt $now
geo,12.1.1,Error,iati:2.03,The percentage must be between 0.0 and 100.0 (inclusive).,,https://drive.google.com/file/d/18P3vSUKK2iWCnXCrORDVAHR8K_EIg8Pp/view,(recipient-country|recipient-region)[@percentage],$iati-version = '2.03' and @percentage castable as xs:decimal and (xs:decimal(@percentage) lt 0 or xs:decimal(@percentage) gt 100)
geo,12.1.2,Error,iati:< 2.03,The percentage must be 0.0 or positive.,,https://drive.google.com/file/d/18P3vSUKK2iWCnXCrORDVAHR8K_EIg8Pp/view,(recipient-country|recipient-region)[@percentage],$iati-version ne '2.03' and @percentage castable as xs:decimal and xs:decimal(@percentage) lt 0
financial,12.2.1,Error,iati:2.03,The percentage must be between 0.0 and 100.0 (inclusive).,,me:iati-url('activity-standard/iati-activities/iati-activity/capital-spend/'),(capital-spend|budget-item)[@percentage],$iati-version = '2.03' and @percentage castable as xs:decimal and (xs:decimal(@percentage) lt 0 or xs:decimal(@percentage) gt 100)
financial,12.2.2,Error,iati:< 2.03,The percentage must be 0.0 or positive.,,me:iati-url('activity-standard/iati-activities/iati-activity/capital-spend/'),(capital-spend|budget-item)[@percentage],$iati-version ne '2.03' and @percentage castable as xs:decimal and xs:decimal(@percentage) lt 0
classifications,12.3.1,Error,iati:2.03,The percentage must be between 0.0 and 100.0 (inclusive).,,https://drive.google.com/file/d/1GNnjeqDIyWwuuIkJ8pMjLhE99R_olSJP/view,sector[@percentage],$iati-version = '2.03' and @percentage castable as xs:decimal and (xs:decimal(@percentage) lt 0 or xs:decimal(@percentage) gt 100)
classifications,12.3.2,Error,iati:< 2.03,The percentage must be 0.0 or positive.,,https://drive.google.com/file/d/1GNnjeqDIyWwuuIkJ8pMjLhE99R_olSJP/view,sector[@percentage],$iati-version ne '2.03' and @percentage castable as xs:decimal and xs:decimal(@percentage) lt 0
geo,12.4.1,Error,iati,The percentage must be a numerical value.,,https://drive.google.com/file/d/18P3vSUKK2iWCnXCrORDVAHR8K_EIg8Pp/view,@percentage,not(. castable as xs:decimal)
classifications,2.1.1,,,"Percentages are missing for one or more sectors, within a vocabulary (e.g. 1 - OECD DAC).",,{me:iati-url(https://drive.google.com/file/d/1GNnjeqDIyWwuuIkJ8pMjLhE99R_olSJP/view)},iati-activity[sector],count($group[not(@percentage)]) > 0
classifications,2.1.2,,,"Percentages for sectors, within a vocabulary (e.g. 1 - OECD DAC) must add up to 100%.",,{me:iati-url(https://drive.google.com/file/d/1GNnjeqDIyWwuuIkJ8pMjLhE99R_olSJP/view)},iati-activity[sector],abs(sum($group/@percentage[. castable as xs:decimal])-100) > 0.0101
classifications,2.1.4,,,"For a single sector, the percentage must either be omitted, or set to 100.",,{me:iati-url(https://drive.google.com/file/d/1GNnjeqDIyWwuuIkJ8pMjLhE99R_olSJP/view)},iati-activity[sector],$group/@percentage and $group/@percentage castable as xs:decimal and xs:decimal($group/@percentage) !=100
classifications,2.2.1,Error,iati,"When using a reporting organisation sector code, it must include a narrative.",,https://drive.google.com/file/d/1GNnjeqDIyWwuuIkJ8pMjLhE99R_olSJP/view,"sector[@vocabulary=('98', '99')]",not(narrative)
geo,3.1.1,,2.0x,Percentages are missing for one or more recipient countries.,,{me:iati-url(https://drive.google.com/file/d/18P3vSUKK2iWCnXCrORDVAHR8K_EIg8Pp/view)},iati-activity[(recipient-country and not(recipient-region))],count($group[not(@percentage)]) > 0
geo,3.1.2,,2.0x,Percentages for recipient countries must add up to 100%.,,{me:iati-url(https://drive.google.com/file/d/18P3vSUKK2iWCnXCrORDVAHR8K_EIg8Pp/view)},iati-activity[(recipient-country and not(recipient-region))],abs(sum($group/@percentage[. castable as xs:decimal])-100) > 0.0101
geo,3.1.4,,2.0x,"For a single recipient country, the percentage must either be omitted, or set to 100.",,{me:iati-url(https://drive.google.com/file/d/18P3vSUKK2iWCnXCrORDVAHR8K_EIg8Pp/view)},iati-activity[(recipient-country and not(recipient-region))],$group/@percentage and $group/@percentage castable as xs:decimal and xs:decimal($group/@percentage) !=100
geo,3.4.1,,2.0x,Percentages are missing for one or more recipient countries or regions.,,{me:iati-url(https://drive.google.com/file/d/18P3vSUKK2iWCnXCrORDVAHR8K_EIg8Pp/view)},iati-activity[recipient-region],count($group[not(@percentage)]) > 0
geo,3.4.2,,2.0x,Percentages for recipient countries or regions must add up to 100%.,,{me:iati-url(https://drive.google.com/file/d/18P3vSUKK2iWCnXCrORDVAHR8K_EIg8Pp/view)},iati-activity[recipient-region],abs(sum($group/@percentage[. castable as xs:decimal])-100) > 0.0101
geo,3.4.4,,2.0x,"For a single recipient country or region, the percentage must either be omitted, or set to 100.",,{me:iati-url(https://drive.google.com/file/d/18P3vSUKK2iWCnXCrORDVAHR8K_EIg8Pp/view)},iati-activity[recipient-region],$group/@percentage and $group/@percentage castable as xs:decimal and xs:decimal($group/@percentage) !=100
financial,3.6.2,Error,iati,"If the activity has recipient-country or recipient-region information, none of the transactions should have a recipient-country or recipient-region.",,https://drive.google.com/file/d/1E3hztk6gWTW5DypLELeSwW5X-Ahg0yjm/view,iati-activity[recipient-country or recipient-region],transaction/recipient-country or transaction/recipient-region
geo,3.7.1,Error,iati,The activity should have recipient-country or recipient-region information for either the activity or for all transactions.,,https://drive.google.com/file/d/18P3vSUKK2iWCnXCrORDVAHR8K_EIg8Pp/view,iati-activity[not(recipient-country or recipient-region)],not(transaction[recipient-country or recipient-region])
geo,3.7.2,Error,iati,"If transactions have a recipient-country or recipient-region, they must be used for all transactions.",,https://drive.google.com/file/d/18P3vSUKK2iWCnXCrORDVAHR8K_EIg8Pp/view,iati-activity[not(recipient-country or recipient-region)],transaction[not(recipient-country or recipient-region)]
information,4.1.1,Error,iati,"The activity should specify a default language, or the language must be specified for each narrative element.",,{me:iati-url('codelists/Language/')},iati-activity,not(./@xml:lang) and descendant::narrative[not(@xml:lang)]
information,4.3.1,Error,,The title has no narrative content.,,me:iati-url('{activity-standard/iati-activities/iati-activity/title/}'),title,not($itemnode/narrative) or not($itemnode/narrative[functx:trim(.)!=''])
information,4.4.1,Error,,The description has no narrative content.,,me:iati-url('{activity-standard/iati-activities/iati-activity/title/}'),description,not($itemnode/narrative) or not($itemnode/narrative[functx:trim(.)!=''])
organisation,4.5.1,Error,iati,"The organisation should specify a default language, or the language should be specified for each narrative element.",,{me:iati-url('codelists/Language/')},iati-organisation,not(./@xml:lang) and descendant::narrative[not(@xml:lang)]
documents,6.1.4,Error,iati,"Document Link must have a specified language, or the Activity must have a default language.",,https://drive.google.com/file/d/1TI9PU5dyyRE2IzervFPUZz_Xfue16xYC/view?usp=sharing,document-link[ancestor::iati-activity[not(@xml:lang)]],not(language) or not(language/@code) or language/@code=''
documents,6.1.5,Error,iati,The document format must be present.,,https://drive.google.com/file/d/1TI9PU5dyyRE2IzervFPUZz_Xfue16xYC/view?usp=sharing,document-link,not(@format) or @format=''
participating,6.10.1,Error,iati,The participating organisation must have an identifier or a narrative.,,https://drive.google.com/file/d/1BOJTMbKxDZJldIBsw71mkomYPm_lkNJi/view,participating-org,not(@ref) and not(narrative)
information,6.11.1,Error,iati,The activity must have a planned or actual start date.,,https://drive.google.com/file/d/1-R-xGMCrAKiadMBIHsNc4Xvl75CB0IV1/view,iati-activity,"not(activity-date[@type=('1', '2')])"
classifications,6.13.1,Error,iati,"When using a reporting organisation policy marker, it must include a narrative.",,https://drive.google.com/file/d/15JQzYc4rUNqwtP-nmtY7h9tHB2i_Isw7/view,policy-marker[@vocabulary='99'],not(narrative)
classifications,6.14.1,Error,iati,"When using a policy marker for vocabulary 1, it must include a significance.",,https://drive.google.com/file/d/15JQzYc4rUNqwtP-nmtY7h9tHB2i_Isw7/view,policy-marker[(@vocabulary='1') or not(@vocabulary)],not(@significance)
documents,6.16.4,Error,iati,"Document Link must have a specified language, or the Organisation must have a default language.",,https://drive.google.com/file/d/1TI9PU5dyyRE2IzervFPUZz_Xfue16xYC/view,document-link[ancestor::iati-organisation[not(@xml:lang)]],not(language) or not(language/@code) or language/@code=''
information,6.2.1,Error,iati,Activity Status must be present.,,https://drive.google.com/file/d/1-R-xGMCrAKiadMBIHsNc4Xvl75CB0IV1/view,iati-activity,not(activity-status)
classifications,6.2.2,Error,iati,"Each activity must have a specified Sector Classification, at either activity level, or for ALL transactions.",,https://drive.google.com/file/d/1GNnjeqDIyWwuuIkJ8pMjLhE99R_olSJP/view,iati-activity[not(sector)],not(transaction[sector])
identifiers,6.3.1,Error,iati,Organisation Type must be present.,,,reporting-org,not(@type) or @type=''
classifications,6.6.2,Error,iati,Sectors are present at both the activity AND transaction level. Sectors should only be present at activity OR transaction level.,,https://drive.google.com/file/d/1GNnjeqDIyWwuuIkJ8pMjLhE99R_olSJP/view,iati-activity[sector],transaction/sector
classifications,6.7.2,Error,iati,"If transactions have a sector classification, they must be used for all transactions.",,https://drive.google.com/file/d/1GNnjeqDIyWwuuIkJ8pMjLhE99R_olSJP/view,iati-activity[not(sector)],transaction[not(sector)]
information,6.8.1,Error,iati,The owner organisation must have an identifier or a narrative.,,,owner-org,not(@ref) and not(narrative)
financial,6.9.1,Error,iati,The organisation must have an identifier or a narrative.,,,provider-org|receiver-org,not(@ref) and not(narrative)
financial,7.5.2,Error,iati,Budget Value must include a Value Date.,,https://drive.google.com/file/d/1vB3vk7gbnADwG1S8A1bRDd8mK-nOfwCh/view?usp=drive_open,budget,not(value/@value-date)
financial,7.5.3,Error,iati,Budget Period must not be longer than one year.,,https://drive.google.com/file/d/1vB3vk7gbnADwG1S8A1bRDd8mK-nOfwCh/view?usp=drive_open,budget|total-budget|total-expenditure|recipient-country-budget|recipient-region-budget|recipient-org-budget,xs:date(period-start/@iso-date) + xs:yearMonthDuration('P1Y') lt xs:date(period-end/@iso-date)
financial,7.8.1,Error,iati,"The Value must have a specified Currency, or the Activity must have a default Currency.",,me:iati-url('codelists/Currency/'),value|loan-status|forecast,(not(@currency) or currency='') and (not(ancestor::iati-activity/@default-currency) or ancestor::iati-activity/@default-currency='')
financial,7.9.1,,,"Percentages are missing for one or more country budget items, within a vocabulary (e.g. 4 - Reporting Organisation).",,{me:iati-url(activity-standard/iati-activities/iati-activity/country-budget-items/budget-item/)},iati-activity[country-budget-items],count($group[not(@percentage)]) > 0
financial,7.9.2,,,"Percentages for country budget items, within a vocabulary (e.g. 4 - Reporting Organisation) must add up to 100%.",,{me:iati-url(activity-standard/iati-activities/iati-activity/country-budget-items/budget-item/)},iati-activity[country-budget-items],abs(sum($group/@percentage[. castable as xs:decimal])-100) > 0.0101
financial,7.9.4,,,"For a single country budget item, the percentage must either be omitted, or set to 100.",,{me:iati-url(activity-standard/iati-activities/iati-activity/country-budget-items/budget-item/)},iati-activity[country-budget-items],$group/@percentage and $group/@percentage castable as xs:decimal and xs:decimal($group/@percentage) !=100
performance,8.10.1,Error,iati:2.03,"The actual must have a value when indicator measure is unit (1), percentage (2), nominal (3) or ordinal (4).",,me:iati-url('activity-standard/iati-activities/iati-activity/result/indicator/period/actual/'),"actual[../../@measure=('1', '2', '3', '4')]",not(@value)
performance,8.10.2,Warning,iati:2.03,The @value should be a valid number for all non-qualitative measures.,,me:iati-url('activity-standard/iati-activities/iati-activity/result/indicator/period/actual/'),"actual[../../@measure=('1', '2', '3', '4')]",not(@value castable as xs:decimal)
performance,8.10.3,Warning,iati:2.03,The @value should be omitted for qualitative measures.,,me:iati-url('activity-standard/iati-activities/iati-activity/result/indicator/period/actual/'),actual[../../@measure=('5')],@value
performance,8.11.1,Error,iati,"If a result has a reference code, the indicator must not have a reference code.",,me:iati-url('activity-standard/iati-activities/iati-activity/result/indicator/reference/'),indicator[reference],../reference
performance,8.6.1,Error,iati,The start of the period must be before the end of the period.,,me:iati-url('activity-standard/iati-activities/iati-activity/result/indicator/period/period-start/'),period,period-start/@iso-date gt period-end/@iso-date
financial,8.6.3,Error,iati,The start of the period must be before the end of the period.,,https://drive.google.com/file/d/1mv2Q666tKBOAoiy5JayslmZNetxDM1uu/view,budget|total-budget|total-expenditure|recipient-org-budget|recipient-country-budget|recipient-region-budget|planned-disbursement,period-start/@iso-date gt period-end/@iso-date
performance,8.8.1,Error,iati:2.03,"The baseline must have a value when indicator measure is unit (1), percentage (2), nominal (3) or ordinal (4).",,me:iati-url('activity-standard/iati-activities/iati-activity/result/indicator/baseline/'),"baseline[../@measure=('1', '2', '3', '4')]",not(@value)
performance,8.8.2,Warning,iati:2.03,The @value should be a valid number for all non-qualitative measures.,,me:iati-url('activity-standard/iati-activities/iati-activity/result/indicator/baseline/'),"baseline[../@measure=('1', '2', '3', '4')]",not(@value castable as xs:decimal)
performance,8.8.3,Warning,iati:2.03,The @value should be omitted for qualitative measures.,,me:iati-url('activity-standard/iati-activities/iati-activity/result/indicator/baseline/'),baseline[../@measure=('5')],@value
performance,8.9.1,Error,iati:2.03,"The target must have a value when indicator measure is unit (1), percentage (2), nominal (3) or ordinal (4).",,me:iati-url('activity-standard/iati-activities/iati-activity/result/indicator/period/target/'),"target[../../@measure=('1', '2', '3', '4')]",not(@value)
performance,8.9.2,Warning,iati:2.03,The @value should be a valid number for all non-qualitative measures.,,me:iati-url('activity-standard/iati-activities/iati-activity/result/indicator/period/target/'),"target[../../@measure=('1', '2', '3', '4')]",not(@value castable as xs:decimal)
performance,8.9.3,Warning,iati:2.03,The @value should be omitted for qualitative measures.,,me:iati-url('activity-standard/iati-activities/iati-activity/result/indicator/period/target/'),target[../../@measure=('5')],@value
iati,9.1.1,Error,iati,The IATI version of the dataset is not a valid version number.,,{me:iati-url('codelists/Version/')},//iati-activities/@version,"me:codeListFail(., 'Version', $iati-version)"
classifications,9.10.1,Error,iati,The collaboration type is invalid.,,{me:iati-url('codelists/CollaborationType/')},//iati-activity/collaboration-type/@code,"me:codeListFail(., 'CollaborationType', $iati-version)"
documents,9.100.1,Error,iati,The language code is invalid.,,{me:iati-url('codelists/Language/')},//iati-organisation/document-link/language/@code,"me:codeListFail(., 'Language', $iati-version)"
documents,9.101.1,Error,iati,The recipient country code is invalid.,,{me:iati-url('codelists/Country/')},//iati-organisation/document-link/recipient-country/@code,"me:codeListFail(., 'Country', $iati-version)"
financial,9.102.1,Error,iati,The budget status is invalid.,,{me:iati-url('codelists/BudgetStatus/')},//iati-organisation/recipient-country-budget/@status,"me:codeListFail(., 'BudgetStatus', $iati-version)"
financial,9.103.1,Error,iati,The recipient country code is invalid.,,{me:iati-url('codelists/Country/')},//iati-organisation/recipient-country-budget/recipient-country/@code,"me:codeListFail(., 'Country', $iati-version)"
financial,9.104.1,Error,iati,The currency code is invalid.,,{me:iati-url('codelists/Currency/')},//iati-organisation/recipient-country-budget/value/@currency,"me:codeListFail(., 'Currency', $iati-version)"
financial,9.105.1,Error,iati,The budget status is invalid.,,{me:iati-url('codelists/BudgetStatus/')},//iati-organisation/recipient-org-budget/@status,"me:codeListFail(., 'BudgetStatus', $iati-version)"
financial,9.106.1,Error,iati,The currency code is invalid.,,{me:iati-url('codelists/Currency/')},//iati-organisation/recipient-org-budget/value/@currency,"me:codeListFail(., 'Currency', $iati-version)"
financial,9.107.1,Error,iati,The budget status is invalid.,,{me:iati-url('codelists/BudgetStatus/')},//iati-organisation/recipient-region-budget/@status,"me:codeListFail(., 'BudgetStatus', $iati-version)"
financial,9.108.1,Error,iati,The recipient region budget code is invalid.,,{me:iati-url('codelists/Region/')},//iati-organisation/recipient-region-budget/recipient-region[@vocabulary = '1' or not(@vocabulary)]/@code,"me:codeListFail(., 'Region', $iati-version)"
geo,9.109.1,Error,iati,The recipient region vocabulary is invalid.,,{me:iati-url('codelists/RegionVocabulary/')},//iati-organisation/recipient-region-budget/recipient-region/@vocabulary,"me:codeListFail(., 'RegionVocabulary', $iati-version)"
performance,9.11.1,Error,iati,The condition type is invalid.,,{me:iati-url('codelists/ConditionType/')},//iati-activity/conditions/condition/@type,"me:codeListFail(., 'ConditionType', $iati-version)"
geo,9.110.1,Error,iati,The currency code is invalid.,,{me:iati-url('codelists/Currency/')},//iati-organisation/recipient-region-budget/budget-line/value/@currency,"me:codeListFail(., 'Currency', $iati-version)"
geo,9.111.1,Error,iati,The currency code is invalid.,,{me:iati-url('codelists/Currency/')},//iati-organisation/recipient-region-budget/value/@currency,"me:codeListFail(., 'Currency', $iati-version)"
information,9.112.1,Error,iati,The organisation type is invalid.,,{me:iati-url('codelists/OrganisationType/')},//iati-organisation/reporting-org/@type,"me:codeListFail(., 'OrganisationType', $iati-version)"
financial,9.113.1,Error,iati,The budget status is invalid.,,{me:iati-url('codelists/BudgetStatus/')},//iati-organisation/total-budget/@status,"me:codeListFail(., 'BudgetStatus', $iati-version)"
financial,9.114.1,Error,iati,The currency code is invalid.,,{me:iati-url('codelists/Currency/')},//iati-organisation/total-budget/value/@currency,"me:codeListFail(., 'Currency', $iati-version)"
